Megans_Original_Work,Influence_Type,New_Artist,New_Song,Weight
Harmony in the Alleyway,LyricalReferenceTo,Anatol Dietz,"Clean Lungs, Clear Mind",1
Harmony in the Alleyway,LyricalReferenceTo,Tracy Simpson,"Clean Lungs, Clear Mind",1
Harmony in the Alleyway,LyricalReferenceTo,Lorraine Martinez,"Clean Lungs, Clear Mind",1
Harmony in the Alleyway,LyricalReferenceTo,Megan Bennett,"Clean Lungs, Clear Mind",1
The Last Frame of Pola,LyricalReferenceTo,Anatol Dietz,"Clean Lungs, Clear Mind",1
The Last Frame of Pola,LyricalReferenceTo,Tracy Simpson,"Clean Lungs, Clear Mind",1
The Last Frame of Pola,LyricalReferenceTo,Lorraine Martinez,"Clean Lungs, Clear Mind",1
The Last Frame of Pola,LyricalReferenceTo,Megan Bennett,"Clean Lungs, Clear Mind",1
Mirrors of Deception,InterpolatesFrom,Lorraine Martinez,Grandfather's Faded Photographs,1
Mirrors of Deception,InterpolatesFrom,Xia Fu,Grandfather's Faded Photographs,1
Mirrors of Deception,InterpolatesFrom,Li Luo,Grandfather's Faded Photographs,1
Mirrors of Deception,InterpolatesFrom,Gang Zhao,Grandfather's Faded Photographs,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Lorraine Martinez,Grandfather's Faded Photographs,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Xia Fu,Grandfather's Faded Photographs,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Li Luo,Grandfather's Faded Photographs,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Gang Zhao,Grandfather's Faded Photographs,1
Unraveled (A Cassidy Story),InStyleOf,Martino Toninelli,The Chambered Melody,1
Unraveled (A Cassidy Story),InStyleOf,Ludovico Mondadori,The Chambered Melody,1
Wilderness Vows at Twilight,InStyleOf,Fang Xue,Lift Me Higher,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Lift Me Higher,1
Wilderness Vows at Twilight,InStyleOf,Tao Sun,Lift Me Higher,1
Forgiveness Falls,LyricalReferenceTo,Fang Xue,Lift Me Higher,1
Forgiveness Falls,LyricalReferenceTo,Ping Tian,Lift Me Higher,1
Forgiveness Falls,LyricalReferenceTo,Tao Sun,Lift Me Higher,1
Wilderness Vows at Twilight,DirectlySamples,Angelika Osojca,Echoes Out of Time,1
Wilderness Vows at Twilight,DirectlySamples,Ping Tian,Echoes Out of Time,1
Wilderness Vows at Twilight,DirectlySamples,Li Fang,Echoes Out of Time,1
Wilderness Vows at Twilight,DirectlySamples,Min Shen,Echoes Out of Time,1
Wilderness Vows at Twilight,InStyleOf,Apolonia Chlebda,Brass and Brass: A Polka Memoir,1
Wilderness Vows at Twilight,InStyleOf,Kamila Ornat,Brass and Brass: A Polka Memoir,1
Mirrors of Deception,InStyleOf,Megan Bennett,Civic Pride: A Municipal Melody,1
Mirrors of Deception,InStyleOf,Brian Wright,Civic Pride: A Municipal Melody,1
The Last Frame of Pola,InStyleOf,Megan Bennett,Harmony in the Alleyway,1
The Last Frame of Pola,InStyleOf,Brian Wright,Harmony in the Alleyway,1
Mirrors of Deception,InStyleOf,Jeremy Li,Sweet Metabolism,1
Mirrors of Deception,InStyleOf,Jamie Ramos,Sweet Metabolism,1
Mirrors of Deception,InStyleOf,Ricky Silva,Sweet Metabolism,1
Mirrors of Deception,InStyleOf,Sonic Pulse,Sweet Metabolism,1
Fever Pitch Madness,CoverOf,Jeremy Li,Sweet Metabolism,1
Fever Pitch Madness,CoverOf,Jamie Ramos,Sweet Metabolism,1
Fever Pitch Madness,CoverOf,Ricky Silva,Sweet Metabolism,1
Fever Pitch Madness,CoverOf,Sonic Pulse,Sweet Metabolism,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Jeremy Li,Sweet Metabolism,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Jamie Ramos,Sweet Metabolism,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Ricky Silva,Sweet Metabolism,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Sonic Pulse,Sweet Metabolism,1
Wilderness Vows at Twilight,CoverOf,Jay Walters,Permanent Horizon,1
The Last Frame of Pola,InStyleOf,Brian Wright,Braided Stories,1
Harmony in the Alleyway,LyricalReferenceTo,Brian Wright,Braided Stories,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Corações em Chamas (Hearts on Fire),1
Candlelight Confessions,InStyleOf,Quattro Voci,Corações em Chamas (Hearts on Fire),1
Candlelight Confessions,InterpolatesFrom,Andrew Williams,The Pound of Flesh Sonata,1
